,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
Defa-rs12,6.58761235294118,6.48223470588235,6.71732117647059,6.65587882352941,6.54478294117647,6.75413,6.56476647058824,6.55725117647059,6.70631323529412,6.59381176470588,6.73956352941176,6.73751764705882,6.49346294117647,6.61622529411765,6.58588235294118,6.60786470588235,6.68140705882353
Defa4,2.89846882352941,3.17472,2.91180411764706,2.96538470588235,3.01452470588235,2.69213764705882,2.87352882352941,3.12521382352941,2.85680058823529,3.10285117647059,2.65897529411765,3.06115470588235,2.99044411764706,3.15586647058824,3.10621,3.38628058823529,3.25566764705882
Magea7-ps,5.97156352941176,5.97249,5.92412764705882,6.08284647058824,5.75033352941176,6.11216882352941,5.99486705882353,6.11942411764706,6.04740941176471,5.92953970588235,6.23380529411765,6.11465058823529,5.92505294117647,5.98129764705882,5.84679411764706,6.11166764705882,5.82089058823529
Sprr2k,5.93418117647059,5.99193941176471,5.93172617647059,5.73441647058824,5.64105117647059,5.79675705882353,6.07023941176471,6.07526941176471,6.03591705882353,5.81749058823529,5.86032529411765,5.93748470588235,5.83329470588235,5.85134,5.76938647058823,5.99188529411765,5.99688058823529
Semg1,2.19013,2.28168470588235,2.16046117647059,2.02860823529412,2.13221529411765,2.12667294117647,2.22697529411765,2.09365058823529,2.28247352941176,1.93731882352941,2.03626647058824,2.23944235294118,2.21397764705882,1.99744,2.05355882352941,2.19036,2.09669176470588
Acsbg1,8.57183764705882,8.60454294117647,8.61806882352941,8.82274235294118,8.54657823529412,8.98589352941177,8.52019176470588,8.54961470588235,8.43656058823529,8.58817529411765,8.71589294117647,8.66488764705882,8.56976529411765,8.53956,8.48028352941176,8.56516411764706,8.49217705882353
Rnf14,11.1624235294118,11.0871823529412,11.1309823529412,10.9565352941176,11.0010705882353,11.0579647058824,11.1190352941176,11.1309823529412,11.1118882352941,10.8742705882353,10.8851352941176,10.9558470588235,11.2295941176471,11.1943294117647,11.0371058823529,10.7444529411765,10.7176352941176
Fignl1,4.64037529411765,4.52549,4.57996176470588,4.61661411764706,4.39255529411765,4.33878647058823,4.52025411764706,4.85145529411765,4.55935823529412,4.52410588235294,4.71978,4.52925647058824,4.87081647058824,4.81302294117647,5.01930235294118,5.17865529411765,4.89941294117647
Magee1,9.98784205882353,9.88679941176471,9.91190235294118,9.40157735294118,9.36827705882353,9.04603058823529,9.88629352941176,10.0037182352941,9.88248411764706,9.22225529411765,9.35057588235294,9.41260058823529,9.93120117647059,9.85971411764706,9.74829294117647,9.11952,9.30450176470588
Dbi,10.4729764705882,10.4351117647059,10.7013,10.7495647058824,10.9161941176471,10.7087411764706,10.5051117647059,10.2348294117647,10.2774235294118,10.8345411764706,10.7755411764706,10.8787176470588,10.4197352941176,10.5836352941176,10.4229764705882,10.7641588235294,10.6611352941176
Prss3b,2.10867088235294,2.26986470588235,2.34545529411765,2.22842529411765,1.98694647058824,2.28321941176471,2.31957882352941,2.36261058823529,2.25573176470588,2.16744529411765,2.20278058823529,2.34074529411765,2.10447911764706,2.18704176470588,2.38996058823529,2.12667294117647,2.23415
Col5a2,5.71085823529412,5.81333882352941,5.47438294117647,5.98996411764706,5.85929411764706,5.64475411764706,5.51714941176471,5.42209470588235,5.13847588235294,6.15752941176471,6.09137235294118,6.07390470588235,5.72255764705882,5.70087764705882,5.38844058823529,6.34294,6.35636823529412
Ephx1,8.54847058823529,7.92383588235294,8.18054470588235,7.95764529411765,8.81642882352941,7.97918529411765,8.50643058823529,8.07523823529412,7.75611176470588,8.70059176470588,7.60512352941176,8.10108235294118,7.84649176470588,8.28978117647059,7.82930588235294,7.26729823529412,8.03383529411765
Cdk4,6.78210470588235,6.98149058823529,6.83864941176471,6.66361764705882,6.71405823529412,6.71922117647059,6.94175588235294,6.91128058823529,6.95986,7.43006588235294,7.28507588235294,7.29747764705882,6.98444294117647,7.12213117647059,7.07925058823529,7.77690705882353,7.49705235294118
Smu1,9.29730411764706,9.32657941176471,9.37910823529412,9.31308470588235,9.19101647058823,9.24309176470588,9.28992470588235,9.29400823529412,9.41494647058824,9.49198235294118,9.49501588235294,9.47821764705882,9.28712352941177,9.30992470588235,9.73148823529412,9.87165294117647,9.69509352941176
Xpnpep1,9.21414117647059,9.25753941176471,9.38410411764706,8.95485294117647,8.92622205882353,8.89118205882353,9.07929705882353,9.12226764705882,9.17831117647059,9.06059588235294,9.13883176470588,9.27727176470588,9.06028529411765,9.05721058823529,9.35698529411765,9.29144,9.37770235294118
Itga6,6.61612852941176,6.82924352941177,6.69460882352941,7.14915411764706,7.15480411764706,7.22812705882353,6.76116882352941,6.88796235294118,6.98223882352941,7.07126117647059,7.19895,7.20086529411765,6.97526470588235,7.07276294117647,7.48485411764706,7.71446470588235,7.77621941176471
Ins2,6.12511117647059,5.72227352941176,5.92147941176471,5.90514647058824,6.19870058823529,5.92945823529412,6.17019470588235,5.99966,5.64404058823529,6.11034411764706,5.78401058823529,6.08142441176471,5.59025235294118,5.88898470588235,5.56585352941176,5.81604823529412,5.98018235294118
Ins1,6.30508411764706,6.21995352941176,6.36966764705882,6.21839588235294,6.15543352941176,6.26334882352941,6.36308882352941,6.35428588235294,6.21314058823529,6.35381,6.42524823529412,6.16939647058823,6.28332294117647,6.24488941176471,6.31993882352941,6.47192235294118,6.42967470588235
