,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
ARID1A,10.30860588,10.34568824,10.32102059,10.42784706,10.33777059,10.42784706,10.25751176,10.40193529,10.3999,9.928487647,9.857703529,10.19315294,9.439413529,9.410224706,9.469161765,9.023505588,9.067963824
ARID2,7.954621765,7.850545294,7.753212941,7.920490588,7.865807059,7.849354118,8.019100588,7.799584118,7.769455882,7.621234118,7.554288235,7.556320588,7.161316471,7.405821765,7.51714,7.080944118,7.313543529
ARID3A,8.069809412,7.973743529,8.110652941,8.009511176,8.008212941,8.001389412,7.778166471,7.772935294,7.832372353,8.407277647,8.339708824,8.284269412,8.003916765,8.122955294,7.563851176,7.701017059,7.556925882
ARID3B,6.563762941,6.709065294,6.719497059,6.813308235,6.654427059,6.742010588,6.745348824,6.776304118,6.575214706,6.615225294,6.687072941,6.860939412,6.903102353,6.848617647,6.872764118,7.41449,7.458445882
ARID4B,5.971371765,5.744245882,5.637949412,5.832527059,5.650361176,5.618097647,5.62731,5.758708235,5.429924706,5.710391176,6.428715294,5.849548824,6.43112,5.862861176,6.190762353,6.105777059,6.517025882
ARID5A,8.328624118,8.558289412,8.448686471,8.540581176,8.592328235,8.531552353,8.607322941,8.390786471,8.263712941,8.398068235,8.474185294,8.252988235,8.604823529,8.630373529,8.559948235,8.637596471,8.669006471
ARID5B,9.070641176,9.06456,9.075376471,8.720839412,8.734362941,8.816428824,8.896771176,8.771772353,8.3119,8.909037647,9.061354118,9.061354118,8.873707647,8.964262353,9.007825882,8.899202353,8.776659412
ARIH1,8.048657059,8.189407059,7.965791765,8.110871471,8.174452941,8.333938824,8.164112353,8.271334706,8.692525882,7.715177647,7.770605294,7.384389412,7.722498824,7.685318235,7.52218,8.491448824,8.418272941
ARIH2,6.027833529,6.10933,6.047962353,6.071928235,5.963450588,6.137097647,6.000497647,6.158267059,6.054631765,5.947732353,6.000956471,5.99547,5.95403,6.160224118,6.140631765,6.375219706,6.170390588
ARL1,5.506555882,5.470499412,5.371951176,5.581558824,5.643916471,5.519643529,5.358056471,5.410937059,5.111988235,5.310384706,5.37323,5.432928824,5.493792353,5.770254706,5.52501,5.497877059,5.384055882
